Hotel Name,City,Country,Lat,Lng,Humidity
,harindanga,IN,22.0383,88.3214,75
,barroso,BR,-21.1869,-43.9758,34
,vryburg,ZA,-26.9566,24.7284,44
,beira,MZ,-19.8436,34.8389,69
,the valley,AI,18.217,-63.0578,65
,araouane,ML,18.9048,-3.5265,10
,kirakira,SB,-10.4544,161.9205,81
,tautira,PF,-17.7333,-149.15,81
,singkang,MY,2.1006,102.7994,89
,taitung,TW,22.7583,121.1444,80
,nabire,ID,-3.3667,135.4833,91
,caiaponia,BR,-16.9567,-51.8103,14
,salto,UY,-31.3833,-57.9667,61
,praya,CV,14.9215,-23.5087,74
,abu zabad,SD,12.35,29.25,29
,beaune,FR,47.0833,4.75,74
,brokopondo,SR,4.75,-55.1667,60
,tikrit,IQ,34.6071,43.6782,14
,lahij,YE,13.1667,44.5833,55
,kapit,MY,2.0167,112.9333,99
,bhandara,IN,21.1667,79.65,86
,charters towers,AU,-20.1,146.2667,77
,sawakin,SD,19.1059,37.3321,69
,rameswaram,IN,9.2833,79.3,77
,guerrero negro,MX,27.9769,-114.0611,68
,bandarbeyla,SO,9.4942,50.8122,81
,bauta,CU,22.9828,-82.5464,71
,nsanje,MW,-16.92,35.262,26
,todos santos,MX,23.45,-110.2167,67
,bataipora,BR,-22.2953,-53.2711,89
,yaring,TH,6.8662,101.3689,87
,isiro,CD,2.7739,27.616,73
,chivilcoy,AR,-34.8957,-60.0167,49
,nicoya,CR,10.1483,-85.452,73
,nouadhibou,MR,20.931,-17.0347,27
,khudumelapye,BW,-23.8833,24.75,64
,bilma,NE,18.6853,12.9164,18
,vung tau,VN,10.346,107.0843,83
,kalabo,ZM,-14.97,22.6814,14
,juba,SS,4.8517,31.5825,69
,pali,IN,25.7667,73.3333,26
,bambanglipuro,ID,-7.95,110.2833,87
,padang,ID,-0.9492,100.3543,82
,choma,ZM,-16.8065,26.9531,22
,tena,EC,-0.9833,-77.8167,62
,ilhabela,BR,-23.7781,-45.3581,88
,nhulunbuy,AU,-12.2333,136.7667,78
,sangamner,IN,19.5667,74.2167,85
,road town,VG,18.4167,-64.6167,70
,ranong,TH,9.9658,98.6348,93
,canchungo,GW,12.0672,-16.0333,61
,poum,NC,-20.2333,164.0167,79
